tweet_id,timestamp,username,display_name,text,replies,retweets,likes,keyword_source,clean_text,aspect,sentiment
2049636532177580139,2026-04-29T23:46:44.000Z,@Zainal_AN,zainalarifinnugraha,Sedih Kak  dolar belum naik aja harga² udah pada naik ini.,1,0,1,dolar naik,sedih kak dolar belum naik saja harga sudah pada naik ini,Harga barang,Netral
2049636018702463072,2026-04-29T23:44:41.000Z,@NathaliaChaca,ナタリア CHACA,Kita hrs senang / sedih ya dolar naik ka,1,0,0,dolar naik,kita harus senang sedih ya dolar naik kak,Umum,Netral
2049634916611367093,2026-04-29T23:40:19.000Z,@in_makiy,Iqbal,"Nambahin pertanyaan sender, kalo sekarang lagi punya cukup duit, mending beli barang sekarang (barang yang mostly impor, kaya printer 3D misalnya) mumpung dolar belum nambah naik, atau beli entar2an aja?",5,0,34,dolar naik,nambahin pertanyaan sender kalo sekarang lagi punya cukup duit mending beli barang sekarang barang yang mostly impor kayak printer di misalnya mumpung dolar belum menambah naik atau beli entar an saja,Harga barang,Netral
2049633345911631921,2026-04-29T23:34:04.000Z,@in_makiy,Iqbal,Bukannya emak2 fb pro & anak2 cenblu twitter pada seneng kalo dolar naik?,0,0,0,dolar naik,bukannya emak fb pro anak cenblu twitter pada senang kalo dolar naik,Umum,Netral
2049504091563520395,2026-04-29T15:00:28.000Z,@LChandayani,Lien Chanda,Dia kayaknya lg berharap byk yg kabur kerja di LN biar devisa negara naik dan byk dolar masuk.,0,0,0,dolar naik,dia kayaknya lagi berharap banyak yang kabur kerja di ln biar devisa negara naik dan banyak dolar masuk,Umum,Netral
2049495683439399077,2026-04-29T14:27:03.000Z,@Yucandoit5,Yuka,"Stop dah bahas jule. Negara noh lagi repot. Dolar naik, Dirut KAI mau disuruh mundur sama DPR, MBG JELEK...",0,0,1,dolar naik,stop deh bahas jule negara noh lagi repot dolar naik dirut kai mau disuruh mundur sama dpr mbak jelek,Umum,Netral
2049490528669180317,2026-04-29T14:06:34.000Z,@Vikry72350632,conan,Habis kondangan nanti ke luar negeri ke lagi mumpung gratis dan uang saku dolar pimpinan baik banget dua pesawat setiap ke luar negeri MBG jalan tanpa hambatan BBM gak naik,0,0,1,dolar naik,habis kondangan nanti ke luar negeri ke lagi mumpung gratis dan uang saku dolar pimpinan baik banget dua pesawat setiap ke luar negeri mbak jalan tanpa hambatan bbm enggak naik,Umum,Positif
2049485990092488786,2026-04-29T13:48:32.000Z,@lendezvous,Harsa ,"Harga bahan bakar naik. Harga bahan pokok naik. Dolar menyentuh 17k. Masih banyak sektor yang gajinya di bawah UMK/UMR. Masih banyak masalah lainnya trs lu bilang Indonesia terang, GWS banget. Gua nyuruh pegang rumput jg kyknya udh gak mempan, napak dlu, sentuh tanah.",0,0,0,dolar naik,harga bahan bakar naik harga bahan pokok naik dolar menyentuh ke masih banyak sektor yang gajinya di bawah umk umr masih banyak masalah lainnya terus lu bilang indonesia terang gws banget gua nyuruh pegang rumput juga kayaknya sudah enggak mempan napak dulu sentuh tanah,Harga barang,Netral
2049472994360070224,2026-04-29T12:56:53.000Z,@AvelinoGuido28,Avelino Guido,"Masalah utama BTC sekarang bukan chartnya. Masalahnya adalah liquiditas global yang mulai kering, dan ini bukan teori, ini yang udah kejadian sepanjang akhir 2025 sampai sekarang.  Liquiditas itu simpelnya uang yang beredar bebas di sistem keuangan. Kalau banyak, orang berani",1,0,0,dolar naik,masalah utama btc sekarang bukan chartnya masalahnya adalah liquiditas global yang mulai kering dan ini bukan teori ini yang sudah kejadian sepanjang akhir sampai sekarang liquiditas itu simpelnya uang yang beredar bebas di sistem keuangan kalau banyak orang berani,Investasi,Netral
2049472220494262347,2026-04-29T12:53:49.000Z,@911youuuu,rul,"gua seneng dolar naik, tapi satu sisi sedih karena mata uang negara sendiri melemah",1,0,1,dolar naik,gua senang dolar naik tapi satu sisi sedih karena mata uang negara sendiri melemah,Ekonomi nasional,Negatif
2049467528628609214,2026-04-29T12:35:10.000Z,@Nila_buchari,Buhari Positip,Amin.. Tapi gak mungkin di siklus ini pas mau naik 1 dolar,1,0,1,dolar naik,amin tapi enggak mungkin di siklus ini pas mau naik dolar,Umum,Netral
2049459878327144821,2026-04-29T12:04:46.000Z,@casein36,casein,dolar naik mulu gw masukin di spy aja kali ya sisanya,0,0,0,dolar naik,dolar naik mulu gue memasuki di supaya saja kali ya sisanya,Umum,Netral
2049442885628744124,2026-04-29T10:57:15.000Z,@FikriTheAdviser,Zhuge Liang,Emas turun. Saham bluechip turun. Dolar ke rupiah naik drastis. Perdagangan dan usaha2 banyak yg sepi. Bahan pokok naik. PHK dimana2. Dan kita disuruh percaya indonesia baik2 aja sama orang yg belum ada 2 tahun keluar negeri dengah total kunjungan 100 hari???,0,0,0,dolar naik,emas turun saham bluechip turun dolar ke rupiah naik drastis perdagangan dan usaha banyak yang sepi bahan pokok naik phk dimana dan kita disuruh percaya indonesia baik saja sama orang yang belum ada tahun keluar negeri dengah total kunjungan hari,Investasi,Negatif
2049439590650630490,2026-04-29T10:44:09.000Z,@jeondaniunivers,Dani,"Setara 99 dolar Hong Kong, di sana uang segitu itungannya gak mewah. Bisa buat jajan dan naik transportasi. Tapi masalahnya kita gak di Hong Kong, uang segitu bisa buat hidup seminggu lebih as anak kos atau manusia yang nunggu gajian (aku)",1,1,66,dolar naik,setara dolar hong kong di sana uang segitu itungannya enggak mewah bisa buat jajan dan naik transportasi tapi masalahnya kita enggak di hong kong uang segitu bisa buat hidup seminggu lebih as anak kos atau manusia yang menunggu gajian aku,Umum,Netral
2049436036292346223,2026-04-29T10:30:02.000Z,@amarkets_id,AMarkets Indonesia,"Informasi & Sinyal Harian Trading Edisi 29 April 2026   Dolar AS naik tipis dan diperdagangkan tepat di bawah level tertinggi dua minggu, di area 99,00. Investor tetap berhati-hati menjual USD menjelang keputusan kebijakan moneter The Fed.    Emas tetap berada di bawah",0,0,0,dolar naik,informasi sinyal harian trading edisi april dolar as naik tipis dan diperdagangkan tepat di bawah level tertinggi dua minggu di area investor tetap berhati hati menjual usd menjelang keputusan kebijakan moneter the fed emas tetap berada di bawah,Investasi,Netral
2049420886365847800,2026-04-29T09:29:50.000Z,@heloo_ko,ew,"dolar tembus 17.300, minyak mentah di atas 100 usd per barel, IHSG terus turun, utang jatuh tempo tahun ini 833 Triliun, daya beli masyarakat terus melemah, semua bahan pokok dan bahan baku produksi naik.  BUTA LU PIKUN GOBLOK !!!",27,370,2200,dolar naik,dolar tembus minyak mentah di atas usd per barel ihsg terus turun utang jatuh tempo tahun ini triliun daya beli masyarakat terus melemah semua bahan pokok dan bahan baku produksi naik buta lu pikun goblok,Harga barang,Negatif
2049409677394616526,2026-04-29T08:45:17.000Z,@fahrisfebri,知足常乐 ,Iphone 17 udh lama rilis bukannya turun malah naik gegara kurs dolar naik,0,1,2,dolar naik,iphone sudah lama rilis bukannya turun malah naik gegara kurs dolar naik,Umum,Negatif
2049402153274601746,2026-04-29T08:15:24.000Z,@Maytri_525,Semangat,Breaking News! Dolar AS Naik ke Rp17.255  Sumber Informasi:  https:// cnbcindonesia.com/market/2026042 9082857-17-730771/breaking-news-dolar-as-naik-ke-rp17255 … #NewsAgent  @indodax,0,0,0,dolar naik,breaking news dolar as naik ke rp sumber informasi breaking news dolar as naik ke rp newsagent,Umum,Netral
2049382231198912624,2026-04-29T06:56:14.000Z,@davidcornelism,David Cornelis,"UAE, HORMUZ, DAN OPENAI: ENERGI, MODAL, DAN RANTAI PASOK YANG TIDAK AKAN KEMBALI  Pada Selasa 28 April 2026, tiga sinyal yang biasanya dibaca terpisah datang bersamaan: UAE keluar dari OPEC dan OPEC+ efektif 1 Mei, Brent tembus USD 111 di hari ke-60 krisis Selat Hormuz, dan",0,0,0,dolar naik,uae hormuz dan openai energi modal dan rantai pasok yang tidak akan kembali pada selasa april tiga sinyal yang biasanya dibaca terpisah datang bersamaan uae keluar dari opec dan opec efektif mei brent tembus usd di hari ke krisis selat hormuz dan,Investasi,Negatif
2049360939376648607,2026-04-29T05:31:37.000Z,@AKIR42119,AKIRA,"dolar naik terus, punya uang banyak juga pelan2 makin miskin",1,0,0,dolar naik,dolar naik terus punya uang banyak juga pelan makin miskin,Umum,Netral
2049352487468232773,2026-04-29T04:58:02.000Z,@Hendri_Mantis,GORAKA,"2 ekonom sepakat memprediksi dolar akan naik lagi, apakah pemerintah akan mengabaikannya ? ... cc  @satriohendri",0,0,0,dolar naik,ekonom sepakat memprediksi dolar akan naik lagi apakah pemerintah akan mengabaikannya cc,Ekonomi nasional,Netral
2049335995234177423,2026-04-29T03:52:30.000Z,@vi_yellowin,vi.yellow,"Ringgit Malaysia naik 2,64% terhadap dolar AS sejak awal 2026. Mata uang terkuat di Asia saat ini.  Sementara rupiah? Justru melemah 6,76% terhadap ringgit di periode yang sama.  YTD 2026, ringgit jadi mata uang Asia dengan apresiasi tertinggi: Ringgit Malaysia: +2,64% vs USD",0,0,0,dolar naik,ringgit malaysia naik terhadap dolar as sejak awal mata uang terkuat di asia saat ini sementara rupiah justru melemah terhadap ringgit di periode yang sama ytd ringgit jadi mata uang asia dengan apresiasi tertinggi ringgit malaysia vs usd,Ekonomi nasional,Negatif
2049334221991542791,2026-04-29T03:45:27.000Z,@OIBofficial,Octa Investama Berjangka,"Peluang Trading Harian 29 APRIL 2026 :     Harga minyak melonjak naik, dolar menguat emas terus tertekan  INFORMASI YANG LENGKAP KLIK LINK DI BAWAH INI :                                                                            https:// instagram.com/reel/DXsxn9Ukx kg/ …  #yangadainvestamanya",0,0,0,dolar naik,peluang trading harian april harga minyak melonjak naik dolar menguat emas terus tertekan informasi yang lengkap klik link di bawah ini kg yangadainvestamanya,Harga barang,Positif
2049166749954978275,2026-04-28T16:39:59.000Z,@aadit548566,Yi Wito,Karna dolar naik bre,0,0,0,dolar naik,karena dolar naik bre,Umum,Netral
